symbol
TCS.BSE
INFY.BSE
RELIANCE.BSE
HDFCBANK.BSE
HINDUNILVR.BSE
ITC.BSE
WIPRO.BSE
BAJFINANCE.BSE
SBIN.BSE
LT.BSE
